Id,Total words_x,Average words per sentence_x,Total OOV words,Average OOV words,Most frequent unigrams 1,Most frequent unigrams 2,Most frequent unigrams 3,Most frequent unigrams 4,Most frequent unigrams 5,Most frequent unigrams 6,Most frequent bigrams 1,Most frequent bigrams 2,Most frequent bigrams 3,Most frequent bigrams 4,Most frequent bigrams 5,Most frequent bigrams 6,Most frequent trigrams 1,Most frequent trigrams 2,Most frequent trigrams 3,Most frequent trigrams 4,Most frequent trigrams 5,Most frequent trigrams 6,Label,Total characters,Digit percentage,Letter percentage,Uppercase percentage,Total number of sentences,Char frequency - a,Char frequency - b,Char frequency - c,Char frequency - d,Char frequency - e,Char frequency - f,Char frequency - g,Char frequency - h,Char frequency - i,Char frequency - j,Char frequency - k,Char frequency - l,Char frequency - m,Char frequency - n,Char frequency - o,Char frequency - p,Char frequency - q,Char frequency - r,Char frequency - s,Char frequency - t,Char frequency - u,Char frequency - v,Char frequency - w,Char frequency - x,Char frequency - y,Char frequency - z,Common char bigram 1,Common char bigram 2,Common char bigram 3,Common char bigram 4,Common char bigram 5,Common char bigram 6,Common char bigram 7,Common char bigram 8,Common char bigram 9,Common char bigram 10,Common char bigram 11,Common char bigram 12,Common char bigram 13,Common char bigram 14,Common char bigram 15,Common char bigram 16,Common char bigram 17,Common char bigram 18,Common char bigram 19,Common char bigram 20,Common char bigram 21,Common char bigram 22,Common char bigram 23,Common char bigram 24,Common char bigram 25,Common char bigram 26,Common char bigram 27,Common char bigram 28,Common char bigram 29,Common char bigram 30,Common char bigram 31,Common char bigram 32,Common char bigram 33,Common char bigram 34,Common char bigram 35,Common char bigram 36,Common char bigram 37,Common char bigram 38,Common char bigram 39,Common char bigram 40,Common char trigram 1,Common char trigram 2,Common char trigram 3,Common char trigram 4,Common char trigram 5,Common char trigram 6,Common char trigram 7,Common char trigram 8,Common char trigram 9,Common char trigram 10,Common char trigram 11,Common char trigram 12,Common char trigram 13,Common char trigram 14,Common char trigram 15,Common char trigram 16,Common char trigram 17,Common char trigram 18,Common char trigram 19,Common char trigram 20,Common char trigram 21,Common char trigram 22,Common char trigram 23,Common char trigram 24,Common char trigram 25,Common char trigram 26,Common char trigram 27,Common char trigram 28,Common char trigram 29,Common char trigram 30,Common char trigram 31,Common char trigram 32,Common char trigram 33,Common char trigram 34,Common char trigram 35,Common char trigram 36,Common char trigram 37,Common char trigram 38,Common char trigram 39,Common char trigram 40,Digit frequency - 0,Digit frequency - 1,Digit frequency - 2,Digit frequency - 3,Digit frequency - 4,Digit frequency - 5,Digit frequency - 6,Digit frequency - 7,Digit frequency - 8,Digit frequency - 9,Special char frequency - ~,Special char frequency - `,Special char frequency - !,Special char frequency - @,Special char frequency - #,Special char frequency - $,Special char frequency - %,Special char frequency - ^,Special char frequency - &,Special char frequency - *,Special char frequency - (,Special char frequency - ),Special char frequency - -,Special char frequency - _,Special char frequency - +,Special char frequency - =,Special char frequency - {,Special char frequency - },Special char frequency - [,Special char frequency - ],Special char frequency - |,Special char frequency - \,Special char frequency - :,Special char frequency - ;,"Special char frequency - """,Special char frequency - ',Special char frequency - <,"Special char frequency - ,",Special char frequency - >,Special char frequency - .,Special char frequency - ?,Special char frequency - /,Total words_y,Average words per sentence_y,Average POS types per sentence,POS to unique words ratio,Total stopwords,Average stopwords per sentence,Most frequent POS unigrams 1,Most frequent POS unigrams 2,Most frequent POS unigrams 3,Most frequent POS unigrams 4,Most frequent POS unigrams 5,Most frequent POS unigrams 6,Most frequent POS unigrams 7,Most frequent POS unigrams 8,Most frequent POS unigrams 9,Most frequent POS unigrams 10,Most frequent POS unigrams 11,Most frequent POS unigrams 12,Most frequent POS unigrams 13,Most frequent POS unigrams 14,Most frequent POS unigrams 15,Most frequent POS unigrams 16,Most frequent POS unigrams 17,Most frequent POS unigrams 18,Most frequent POS unigrams 19,Most frequent POS unigrams 20,Most frequent POS unigrams 21,Most frequent POS unigrams 22,Most frequent POS unigrams 23,Most frequent POS unigrams 24,Most frequent POS unigrams 25,Most frequent POS unigrams 26,Most frequent POS unigrams 27,Most frequent POS unigrams 28,Most frequent POS unigrams 29,Most frequent POS unigrams 30,Most frequent POS unigrams 31,Most frequent POS unigrams 32,Most frequent POS bigrams 1,Most frequent POS bigrams 2,Most frequent POS bigrams 3,Most frequent POS bigrams 4,Most frequent POS bigrams 5,Most frequent POS bigrams 6,Most frequent POS bigrams 7,Most frequent POS bigrams 8,Most frequent POS bigrams 9,Most frequent POS bigrams 10,Most frequent POS bigrams 11,Most frequent POS bigrams 12,Most frequent POS bigrams 13,Most frequent POS bigrams 14,Most frequent POS bigrams 15,Most frequent POS bigrams 16,Most frequent POS trigrams 1,Most frequent POS trigrams 2,Most frequent POS trigrams 3,Most frequent POS trigrams 4,Most frequent POS trigrams 5,Most frequent POS trigrams 6,Most frequent POS trigrams 7,Most frequent POS trigrams 8,Total sentences,Average sentence length,Flesch-kincaid grade level score
1,277,27.7,65,0.1454545454545454,6,5,5,5,5,4,4,3,3,2,2,2,2,2,2,2,2,1,Chatgpt,1705,0.0,0.8234604105571848,0.0070381231671554,10,85,23,46,55,174,19,30,77,119,1,12,65,30,98,130,28,0,80,89,125,51,26,21,0,19,1,65,53,48,40,39,34,31,27,26,24,24,24,22,22,21,20,20,19,19,19,18,18,17,17,17,16,16,16,16,16,15,14,14,14,14,14,13,12,12,12,43,33,19,18,18,18,17,15,14,13,12,11,10,10,10,10,10,10,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,10,0,0,277,27.7,27.7,2.0984848484848486,133,13.3,36,35,34,32,26,18,16,13,11,11,11,10,7,6,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,13,12,11,11,10,10,8,8,8,8,8,6,5,5,5,5,6,5,5,5,5,4,4,4,10,169.6,14.594078853046597
2,318,22.714285714285715,65,0.1075949367088607,12,12,6,5,5,5,12,4,4,4,3,3,4,3,3,3,3,3,Chatgpt,1940,0.0,0.8206185567010309,0.0072164948453608,14,129,10,56,60,227,12,42,61,105,3,12,84,25,124,127,45,1,117,98,129,44,22,22,1,36,0,76,53,51,37,34,34,33,32,31,28,28,27,27,25,25,24,24,24,24,23,23,22,22,21,21,20,20,18,18,18,18,17,17,16,16,15,15,15,15,14,33,29,20,19,19,19,17,17,16,16,16,16,16,15,15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,11,11,11,10,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,14,0,0,318,22.714285714285715,22.714285714285715,2.564516129032258,144,10.285714285714286,62,38,32,28,27,24,23,19,15,7,6,6,5,5,4,4,3,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,21,18,18,13,12,10,10,9,9,8,8,7,6,5,5,5,13,8,8,7,6,6,5,5,14,137.64285714285714,13.00495058400719
3,402,23.647058823529413,105,0.1425,11,11,9,6,5,5,5,4,3,3,3,2,3,3,2,2,2,2,Chatgpt,2487,0.0,0.8194611982308002,0.0072376357056694,17,175,25,96,90,285,23,18,116,150,5,11,83,38,154,128,45,3,144,123,181,48,30,22,4,39,2,83,71,56,55,55,44,43,38,38,37,37,37,35,34,34,32,29,28,28,27,27,26,25,25,24,22,22,22,21,21,20,20,20,20,19,18,18,18,17,17,49,45,23,20,20,20,20,19,19,19,18,17,16,16,15,15,15,15,15,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,0,17,0,0,402,23.647058823529413,23.88235294117647,2.4907975460122698,193,11.352941176470589,62,52,35,34,34,32,30,22,17,15,15,13,13,5,4,4,4,3,3,2,2,2,1,1,0,0,0,0,0,0,0,0,18,17,13,12,12,12,11,10,10,10,9,9,9,9,9,8,10,9,8,7,7,6,6,6,17,145.35294117647058,12.475484342990928
4,305,21.785714285714285,73,0.0921052631578947,9,9,9,8,7,5,9,8,3,3,3,3,8,3,3,3,3,3,Chatgpt,1917,0.0,0.8179447052686489,0.0073030777256129,14,158,28,51,92,158,34,17,48,157,2,9,57,32,136,117,15,3,99,110,139,34,17,26,1,28,0,58,57,54,50,50,46,45,41,37,36,35,35,31,28,27,26,24,23,23,22,22,21,20,20,20,20,20,19,18,17,17,17,16,16,16,15,15,15,14,14,34,31,30,28,27,26,22,22,20,20,20,17,17,17,16,15,15,15,15,14,14,13,13,13,13,12,12,12,12,11,11,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,0,14,0,0,305,21.785714285714285,22.0,2.8518518518518516,142,10.142857142857142,60,40,33,30,27,24,22,15,15,10,9,5,5,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,16,14,11,10,10,9,9,8,8,7,7,6,6,5,9,9,9,8,8,7,6,6,14,136.0,13.735128805620612
5,421,24.764705882352946,85,0.1097852028639618,14,12,9,8,7,5,12,7,5,3,2,2,7,5,3,3,2,2,Chatgpt,2521,0.0,0.817929393097977,0.006743355811186,17,168,32,58,92,251,44,60,72,159,3,36,87,59,170,184,42,3,126,97,164,49,22,50,11,21,2,87,57,56,50,48,47,44,42,41,38,36,32,32,32,29,27,27,27,27,26,26,25,22,21,21,21,21,20,20,20,20,19,18,18,18,18,18,17,17,17,31,28,27,24,21,21,20,19,16,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,17,0,0,421,24.764705882352946,24.764705882352946,2.5209580838323356,221,13.0,58,54,41,32,28,26,24,23,22,21,16,14,14,9,8,7,7,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,20,14,13,13,13,12,12,12,10,9,9,9,8,7,7,7,12,7,7,7,6,6,5,5,17,147.35294117647058,12.347429090401004
6,280,23.333333333333332,45,0.0821428571428571,11,8,7,5,3,3,4,3,2,2,2,2,2,2,2,1,1,1,Chatgpt,1697,0.0,0.8226281673541543,0.0070713022981732,12,123,17,73,49,155,39,20,70,93,2,3,55,44,97,113,32,0,73,72,145,43,16,19,3,40,0,64,51,45,40,40,31,29,28,28,27,25,24,23,21,20,19,18,18,18,17,17,17,17,16,16,16,15,14,14,13,13,13,13,13,13,13,12,12,12,12,38,33,28,24,15,15,14,14,12,12,12,11,11,11,11,11,11,11,11,10,10,9,9,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,280,23.333333333333332,23.333333333333332,2.0437956204379564,135,11.25,49,47,32,24,24,18,16,14,12,11,7,5,5,4,3,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,32,20,15,12,11,8,8,7,6,6,5,5,5,5,5,4,14,10,9,7,5,5,5,5,12,140.5,13.92666666666667
7,178,19.77777777777778,37,0.0888888888888888,7,6,4,3,3,3,4,3,2,2,2,2,2,2,2,2,1,1,Chatgpt,1135,0.0,0.8255506607929516,0.0096916299559471,9,74,18,37,31,88,18,10,33,74,1,3,45,26,70,103,26,0,60,55,91,28,14,15,1,16,0,30,28,25,21,19,19,17,16,16,16,15,15,15,14,13,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,8,13,11,11,9,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,9,0,0,178,19.77777777777778,20.11111111111111,1.6759259259259258,77,8.555555555555555,41,18,17,17,16,14,11,10,8,6,4,4,3,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,11,10,9,9,9,9,8,6,5,4,4,4,4,4,3,3,8,8,6,4,3,3,3,3,9,125.22222222222224,12.608701622971283
8,386,25.733333333333334,89,0.1398963730569948,11,10,10,9,6,6,9,4,4,3,3,3,3,3,2,2,2,2,Chatgpt,2461,0.0,0.8293376676147908,0.0060950832994717,15,178,25,78,56,257,56,30,90,174,0,3,86,44,138,173,64,4,123,141,153,45,54,27,8,34,0,70,64,61,53,45,44,43,39,39,38,37,36,36,35,34,30,30,29,28,27,26,26,26,25,23,23,23,22,22,22,21,21,21,20,19,19,19,19,18,17,36,25,23,23,22,22,21,20,19,18,18,18,17,16,16,16,15,15,15,14,14,14,13,13,13,13,13,13,12,12,12,12,12,12,12,12,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,15,0,0,386,25.733333333333334,26.0,2.61744966442953,170,11.333333333333334,64,63,62,31,31,27,23,14,13,10,10,9,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,26,19,19,18,17,14,14,13,12,11,10,8,7,6,6,6,12,11,10,9,8,8,7,6,15,163.13333333333333,14.88452158894646
9,320,21.333333333333332,68,0.1125,12,5,5,5,5,4,5,4,4,2,2,2,4,4,2,1,1,1,Chatgpt,2026,0.0,0.8267522211253702,0.008390918065153,15,158,18,65,53,183,36,24,67,164,1,3,64,53,150,131,31,0,74,106,167,33,36,24,3,31,0,55,52,50,47,42,39,37,37,36,33,33,33,31,29,28,28,28,28,27,26,25,25,24,22,22,21,20,20,19,18,18,17,17,17,17,16,16,16,15,14,33,21,20,19,18,18,18,17,17,16,15,15,14,13,13,13,13,12,12,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,15,0,0,320,21.333333333333332,21.333333333333332,2.191780821917808,153,10.2,56,45,28,27,24,21,19,18,15,15,12,12,8,6,5,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,18,12,11,10,10,10,9,9,8,8,8,8,7,7,7,7,6,5,5,5,5,5,5,5,15,134.13333333333333,14.199166666666668
10,351,19.5,88,0.1428571428571428,16,4,4,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,Chatgpt,2200,0.0,0.8236363636363636,0.0081818181818181,18,157,20,67,69,221,57,25,73,122,1,5,54,38,139,162,48,3,140,139,162,44,31,15,3,17,0,62,57,47,46,46,44,44,40,38,37,37,31,31,29,28,27,27,26,26,26,24,24,23,23,23,22,22,21,21,20,20,19,19,18,18,17,16,16,16,16,34,32,26,26,26,24,23,22,20,19,18,17,16,16,15,14,14,14,13,13,13,12,12,11,11,10,9,9,9,9,9,9,9,9,9,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,18,0,0,351,19.5,19.555555555555557,2.2278481012658227,162,9.0,60,47,43,39,26,23,21,17,11,10,9,8,7,7,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,24,18,15,14,12,11,10,10,9,8,7,7,7,6,6,6,11,8,7,7,6,5,5,5,18,121.27777777777776,12.15903133903134
